id,name,host_id,host_name,neighbourhood_group,neighbourhood,seattle_region,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.62E+17,Guesthouse in Seattle · ★4.84 · 2 bedrooms · 3 beds · 1 bath,137414994,Patrick,West Seattle,North Admiral,west,47.59001,-122.38757,Entire home/apt,150,2,19,6/18/2023,1.69,1,104,19,STR-OPLI-22-000919
5.75E+17,Home in Seattle · ★4.0 · 4 bedrooms · 5 beds · 2 baths,446539146,Vacasa Washington,Magnolia,Southeast Magnolia,central,47.64411,-122.38511,Entire home/apt,382,2,10,6/19/2023,0.77,21,348,9,STR-OPLI-20-000839
7.99E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 shared bath,484295554,Blanton,University District,University District,north,47.65685169,-122.3131572,Private room,65,30,1,2/15/2023,0.23,13,111,1,
7.14E+17,Home in Seattle · ★4.98 · 3 bedrooms · 5 beds · 2.5 baths,289940646,Alex And Julia,Rainier Valley,Mount Baker,south,47.57431,-122.29424,Entire home/apt,227,1,46,6/19/2023,5.97,1,202,46,STR-OPLI-22-001803
6.06E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Rainier Valley,Columbia City,south,47.5612311,-122.2928934,Entire home/apt,120,31,0,,,398,266,0,
7.99E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 shared bath,484295554,Blanton,University District,University District,north,47.65875677,-122.3152705,Private room,65,30,0,,,13,97,0,
5.44E+17,Vacation home in Seattle · ★4.80 · 1 bedroom · 1 bed · 1 bath,363716927,Aman,Queen Anne,North Queen Anne,central,47.64667,-122.36059,Entire home/apt,220,2,5,6/19/2023,0.41,1,331,5,STR-OPLI-22-001031
48598639,Rental unit in Seattle · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,Downtown,Belltown,central,47.6171782,-122.3313731,Entire home/apt,257,31,1,12/16/2021,0.05,398,315,0,
51731627,Serviced apartment in Seattle · ★3.50 · 1 bedroom · 1 bed · 1 bath,48005494,Zeus,Other neighborhoods,Wallingford,north,47.66156,-122.34596,Entire home/apt,153,30,4,1/22/2023,0.24,36,295,3,
25002,Guest suite in Seattle · ★4.93 · 1 bedroom · 2 beds · 1 bath,102684,Amanda,Ballard,Whittier Heights,north,47.67947,-122.37196,Entire home/apt,89,2,992,6/13/2023,6.18,1,101,72,STR-OPLI-19-002617
6.65E+17,Home in Seattle · ★4.89 · 4 bedrooms · 7 beds · 3.5 baths,3988446,Joe,Interbay,Interbay,central,47.63378,-122.39117,Entire home/apt,875,2,27,6/5/2023,2.45,1,116,27,STR-OPLI-22-001189
33327082,Rental unit in Seattle · ★4.68 · Studio · 2 beds · 1 bath,4730169,Magic,Downtown,Yesler Terrace,central,47.60593,-122.31927,Entire home/apt,117,1,186,6/11/2023,3.65,14,255,21,STR-OPLI-22-001858
8.21E+17,Home in Seattle · 6 bedrooms · 9 beds · 4 baths,462796256,Ming,Other neighborhoods,Green Lake,north,47.67699322,-122.3302084,Entire home/apt,858,1,2,5/22/2023,0.98,22,199,2,STR-OPLI-22-001941
7.71E+17,Rental unit in Seattle · ★4.69 · 1 bedroom · 2 beds · 1 bath,121688409,Evolve,Ballard,Loyal Heights,north,47.6774,-122.38789,Entire home/apt,101,2,13,6/9/2023,2.06,43,120,13,STR-OPLI-19-000635
51323246,Home in Seattle · ★4.96 · 3 bedrooms · 3 beds · 3.5 baths,189578858,Katherine,Delridge,North Delridge,west,47.56163,-122.35958,Entire home/apt,210,3,67,6/7/2023,2.97,1,114,30,STR-OPLI-21-000703
7.53E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 shared bath,484295554,Blanton,University District,University District,north,47.65691,-122.31384,Private room,65,30,0,,,13,89,0,
